Kode Saham,Nama Perusahaan,Harga Pembukaan,Harga Tertinggi,Harga Terendah,Harga Penutupan,Volume
AAPL,Apple Inc.,181.27000427246094,183.8800048828125,180.97000122070312,183.7899932861328,54164101
MSFT,Microsoft Corporation,328.5799865722656,332.0899963378906,325.1600036621094,331.8500061035156,24233874
GOOGL,Alphabet Inc.,122.78500366210938,124.04499816894531,121.66000366210938,123.63999938964844,27412713
AMZN,"Amazon.com, Inc.",124.0199966430664,126.77999877929688,123.52999877929688,126.56999969482422,51136252
META,"Meta Platforms, Inc.",267.1700134277344,271.75,265.3299865722656,271.04998779296875,15125774
NVDA,Nvidia Corporation,392.0,395.2998962402344,386.17999267578125,394.82000732421875,38473420
TSLA,"Tesla, Inc.",247.94000244140625,250.97000122070312,244.58999633789062,249.8300018310547,149872876
